"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"6119";"1";"11";"260";"1988-3";"1988 Diesel"
"6120";"1";"22";"4136";"2013-1";"2013 Gasolina"
"6121";"1";"22";"4136";"2012-1";"2012 Gasolina"
"6122";"1";"22";"4136";"2011-1";"2011 Gasolina"
"6123";"1";"22";"4136";"2010-1";"2010 Gasolina"
"6124";"1";"22";"4136";"2009-1";"2009 Gasolina"
"6125";"1";"22";"4136";"2008-1";"2008 Gasolina"
"6126";"1";"22";"4136";"2007-1";"2007 Gasolina"
"6127";"1";"22";"6521";"2016-1";"2016 Gasolina"
"6128";"1";"22";"6521";"2015-1";"2015 Gasolina"
"6129";"1";"22";"6521";"2014-1";"2014 Gasolina"
"6130";"1";"136";"4392";"2012-1";"2012 Gasolina"
"6131";"1";"136";"4392";"2011-1";"2011 Gasolina"
"6132";"1";"136";"4392";"2010-1";"2010 Gasolina"
"6133";"1";"136";"4392";"2009-1";"2009 Gasolina"
"6134";"1";"136";"4392";"2008-1";"2008 Gasolina"
"6135";"1";"136";"4392";"2007-1";"2007 Gasolina"
"6136";"1";"136";"4392";"2006-1";"2006 Gasolina"
"6137";"1";"136";"4392";"2005-1";"2005 Gasolina"
"6138";"1";"22";"6522";"2016-1";"2016 Gasolina"
"6139";"1";"22";"6522";"2015-1";"2015 Gasolina"
"6140";"1";"22";"6522";"2014-1";"2014 Gasolina"
"6141";"1";"22";"6428";"2014-1";"2014 Gasolina"
"6142";"1";"136";"4393";"2012-1";"2012 Gasolina"
"6143";"1";"136";"4393";"2011-1";"2011 Gasolina"
"6144";"1";"136";"4393";"2010-1";"2010 Gasolina"
"6145";"1";"136";"4393";"2009-1";"2009 Gasolina"
"6146";"1";"136";"4393";"2008-1";"2008 Gasolina"
"6147";"1";"136";"4393";"2007-1";"2007 Gasolina"
"6148";"1";"22";"6429";"2014-1";"2014 Gasolina"
"6149";"1";"22";"5345";"2014-1";"2014 Gasolina"
"6150";"1";"22";"5345";"2013-1";"2013 Gasolina"
"6151";"1";"22";"5345";"2012-1";"2012 Gasolina"
"6152";"1";"22";"5345";"2011-1";"2011 Gasolina"
"6153";"1";"136";"4394";"2012-1";"2012 Gasolina"
"6154";"1";"136";"4394";"2011-1";"2011 Gasolina"
"6155";"1";"136";"4394";"2010-1";"2010 Gasolina"
"6156";"1";"136";"4394";"2009-1";"2009 Gasolina"
"6157";"1";"136";"4394";"2008-1";"2008 Gasolina"
"6158";"1";"136";"4394";"2007-1";"2007 Gasolina"
"6159";"1";"136";"4394";"2006-1";"2006 Gasolina"
"6160";"1";"22";"6430";"2014-1";"2014 Gasolina"
